"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000023087",-1.69364275113393,8.58296690522352,37.4804542959924,0.00042139422572112,0.0182419342450327
"ENSMUSG00000033715",0.644898698004585,9.73016200048483,37.0926148311145,0.000435169429894891,0.0183552233891563
"ENSMUSG00000030382",0.789443092630247,10.3023906842058,35.3575555915667,0.000504342599064253,0.0202365422090352
"ENSMUSG00000025792",-0.538602743816125,7.8097665991355,35.3567965332281,0.000504375824054981,0.0202365422090352
"ENSMUSG00000052595",-0.680803138690577,7.69516283555748,35.034012861252,0.000518761562259855,0.020318161188511
"ENSMUSG00000029260",0.836976734689431,9.91135658033761,34.240223617587,0.000556435186080356,0.0212868809558648
"ENSMUSG00000034456",-0.601286823584015,8.829609080019,33.1405970032339,0.000614602553894122,0.022699174341927
"ENSMUSG00000025991",0.710739374997416,13.1634082221097,33.0188597452527,0.00062151084700896,0.022699174341927
"ENSMUSG00000032383",0.51835646305205,8.1826183928004,32.7903381603414,0.000634748948163309,0.022699174341927
"ENSMUSG00000038174",1.05553925717308,7.02683534576135,32.1649964836124,0.000672862959661726,0.022890710499023
"ENSMUSG00000030711",-1.5629874513912,8.33557333165592,31.8755029843049,0.000691497244618827,0.022890710499023
"ENSMUSG00000066361",0.988421146304427,8.42857956430866,31.6770489681408,0.000704653493540673,0.022890710499023
"ENSMUSG00000010175",-1.01908495379891,7.55170360994961,31.6061528471914,0.000709430891317164,0.022890710499023
"ENSMUSG00000028691",0.724532037188436,10.0904381065842,31.6024491743071,0.00070968160209737,0.022890710499023
"ENSMUSG00000061353",-0.677204172903492,8.30533994284907,30.8081287945034,0.000766172292093111,0.0239065427466061
"ENSMUSG00000024694",0.694815985290549,8.30792873063753,30.7494007948561,0.000770573408842216,0.0239065427466061
"ENSMUSG00000031844",0.886055782351117,7.18697549717418,30.5627925076496,0.000784774047608954,0.0239065427466061
"ENSMUSG00000031555",0.468385284523712,7.40914910217024,30.1937034469716,0.000813860129389916,0.0243418165972075
"ENSMUSG00000062181",1.36859162215095,9.67132102715711,29.6152467471238,0.000862275553950991,0.0253293443973104
"ENSMUSG00000039519",1.82440951756796,10.0532484829602,29.3596225316362,0.000884842206210493,0.0254447052232834
"ENSMUSG00000026991",-0.547644557714148,7.21042754860993,29.2238151832269,0.000897138542827013,0.0254447052232834
"ENSMUSG00000027546",-0.494247761524051,7.47544669265248,28.8650934468343,0.000930684644170338,0.0259487498247492
"ENSMUSG00000054630",0.618628925607115,10.2200249007584,28.6416303215087,0.000952394538041811,0.0261114835846463
"ENSMUSG00000029761",-0.519604369825444,7.72382462393949,28.2699960191732,0.000989953293561701,0.0263466702341221
"ENSMUSG00000035811",0.767867780632399,9.26337105102231,28.2405913550765,0.000993005200313416,0.0263466702341221
"ENSMUSG00000055322",-0.744907982948,7.60016085052181,27.3503900189639,0.00109137269101053,0.0281495879448977
"ENSMUSG00000038172",0.90191046091311,7.02582312649943,27.2123673012302,0.00110772203075128,0.0281495879448977
"ENSMUSG00000005677",-0.874015803489328,8.51129443386887,26.9540011894005,0.00113917697641016,0.0281495879448977
"ENSMUSG00000030275",-0.612117757813621,7.51811924160679,26.9475226722609,0.00113998028120568,0.0281495879448977
"ENSMUSG00000087141",0.878108795977266,8.24256245202358,26.7899256032408,0.00115974647443709,0.0281495879448977
"ENSMUSG00000054263",1.49192296429819,10.1923017492594,26.7593622112166,0.00116363038313255,0.0281495879448977
"ENSMUSG00000071177",-1.28448508400827,9.47037510353661,26.4896607890919,0.00119863427265498,0.0281682828171101
"ENSMUSG00000003053",0.822896224119724,11.680997248772,26.4834811418319,0.00119945197426776,0.0281682828171101
"ENSMUSG00000060961",-0.576069380777968,7.35706672576535,26.171695476704,0.00124164982832302,0.0281682828171101
"ENSMUSG00000020190",-0.538703132991796,7.21370542680961,26.0630897106845,0.00125679336314361,0.0281682828171101
"ENSMUSG00000031767",1.31284690822033,9.39910098946493,26.052855618493,0.00125823250148102,0.0281682828171101
"ENSMUSG00000058207",0.898515015046547,13.7883659009308,25.9357706671888,0.001274848060569,0.0281682828171101
"ENSMUSG00000035836",0.910199223351679,10.632053470778,25.7939427879704,0.00129535234215392,0.0281682828171101
"ENSMUSG00000019726",-0.550025981980453,7.72774814564322,25.7527140559121,0.00130139178972667,0.0281682828171101
"ENSMUSG00000042476",-0.617825370746704,8.93370805621775,25.2643988762469,0.00137573741928475,0.029168388349393
"ENSMUSG00000063524",-0.596449139376181,7.99068252270045,25.2181296908738,0.0013830603594241,0.029168388349393
"ENSMUSG00000026014",0.521131761226565,7.94624512319835,24.7316830350983,0.00146314992015882,0.030466855932421
"ENSMUSG00000022867",0.658519987416518,6.93823226120797,24.3176396699727,0.00153604312205953,0.0313884635096924
"ENSMUSG00000024120",0.458788760756066,8.53594833043882,24.2289275781726,0.00155226098596246,0.0313884635096924
"ENSMUSG00000026669",1.15010749839401,8.02290772413368,24.1030789090976,0.00157564536497904,0.0313884635096924
"ENSMUSG00000060613",0.91181455936135,9.96935010911367,23.94655714143,0.00160536128054368,0.0313884635096924
"ENSMUSG00000027282",0.547304915073593,7.77702495760534,23.8807988782628,0.00161805917972537,0.0313884635096924
"ENSMUSG00000069520",-0.457348578200415,7.60329667680396,23.8610573935772,0.00162189629077438,0.0313884635096924
"ENSMUSG00000020593",1.61147660965428,8.58974832987432,23.7566094968904,0.00164239230724398,0.0314155272722832
"ENSMUSG00000027580",-0.543888616192304,7.79390321396604,23.6249986245484,0.00166869241645242,0.0315517129317728
"ENSMUSG00000026417",-1.01400572168822,10.3820148478576,23.5071831968716,0.0016926940016466,0.0316418367353256
"ENSMUSG00000055730",0.831893128990261,9.07513399355862,23.371868683545,0.00172080775471185,0.0318059410842808
"ENSMUSG00000026623",-0.928162234877981,8.42735260545705,22.7857544799501,0.00184971005551533,0.0338085893480302
"ENSMUSG00000022892",-0.576651642781732,7.23403563312079,22.1551144695329,0.00200252364597993,0.0361994659080988
"ENSMUSG00000036110",0.641306607421484,8.4426447480639,21.8682100332099,0.00207738505095159,0.0371445479219062
"ENSMUSG00000027878",-0.518869127246025,7.27150834368316,21.2507130082189,0.00225105238791188,0.0398170019152155
"ENSMUSG00000074207",0.511516074942873,11.3896391342385,20.8162591792608,0.00238448185430218,0.0417284324502882
"ENSMUSG00000033688",0.579582034073654,9.9682004364018,20.6222101469232,0.00244734386188382,0.0419467730772392
"ENSMUSG00000021910",-0.535588474088875,7.31941421958118,20.6203471707904,0.00244795757775985,0.0419467730772392
"ENSMUSG00000066154",1.37842836298186,12.9491971774355,20.4134313287998,0.00251736395851779,0.0426913784717708
"ENSMUSG00000031278",1.08641924173045,7.78712164627646,20.0711053008194,0.00263781485603667,0.0442776065120441
"ENSMUSG00000022443",-0.587496705853974,8.74076324749027,19.8016510710199,0.00273785085559306,0.0454925722974806
